Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Coba,Edge Chromium 123,,,17-04-2024 09:54:49,17-04-2024 09:55:10,20.266s,PASSED
,,,,,,,
Test Cases/Login_Script,Edge Chromium 123,,,17-04-2024 09:54:50,17-04-2024 09:55:00,10.727s,PASSED
"openBrowser(""https://dev.admin-pickme.metrodataacademy.id/login"")",Edge Chromium 123,,,17-04-2024 09:54:50,17-04-2024 09:54:54,4.024s,PASSED
maximizeWindow(),Edge Chromium 123,,,17-04-2024 09:54:54,17-04-2024 09:54:54,0.175s,PASSED
"setText(findTestObject(""Object Repository/Login_Logout/Page_Login Page/input_Username_username""), ""admin"")",Edge Chromium 123,,,17-04-2024 09:54:54,17-04-2024 09:54:55,0.815s,PASSED
"setText(findTestObject(""Object Repository/Login_Logout/Page_Login Page/input_Kata Sandi_password""), ""test1234"")",Edge Chromium 123,,,17-04-2024 09:54:55,17-04-2024 09:54:56,0.706s,PASSED
"click(findTestObject(""Object Repository/Login_Logout/Page_Login Page/button_LOGIN""))",Edge Chromium 123,,,17-04-2024 09:54:56,17-04-2024 09:55:00,4.239s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login_Logout/Page_Home/h1_Selamat Datang""), 3)",Edge Chromium 123,,,17-04-2024 09:55:00,17-04-2024 09:55:00,0.424s,PASSED
,,,,,,,
Test Cases/Logout_Script,Edge Chromium 123,,,17-04-2024 09:55:00,17-04-2024 09:55:10,9.330s,PASSED
"click(findTestObject(""Object Repository/Login_Logout/Page_Home/button_Husny Murabok""))",Edge Chromium 123,,,17-04-2024 09:55:00,17-04-2024 09:55:01,0.367s,PASSED
delay(3),Edge Chromium 123,,,17-04-2024 09:55:01,17-04-2024 09:55:04,3.039s,PASSED
"click(findTestObject(""Object Repository/Login_Logout/Page_Home/a_Logout""))",Edge Chromium 123,,,17-04-2024 09:55:04,17-04-2024 09:55:04,0.593s,PASSED
delay(5),Edge Chromium 123,,,17-04-2024 09:55:04,17-04-2024 09:55:09,5.017s,PASSED
closeBrowser(),Edge Chromium 123,,,17-04-2024 09:55:09,17-04-2024 09:55:10,0.266s,PASSED
